                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4998,                 4.2143,                 1.4302,                0.00144,                0.40625,                0.01926,                0.01273,                 1.6008,                 4.6731,                 1.7605,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.7936,                 4.1538,                 1.5692,                0.00189,                0.53125,                0.04449,                0.02855,                 1.4957,                 4.4947,                 1.6159,             5.9703e-05,             5.9703e-05,             5.9703e-05
                      3,                 1.3901,                 3.9734,                  1.315,                0.00222,                  0.625,                0.09207,                0.03612,                  1.445,                 4.3106,                 1.4657,              9.901e-05,              9.901e-05,              9.901e-05
                      4,                 1.3404,                 3.6575,                 1.2039,                0.00256,                0.71875,                0.18546,                0.11414,                 1.4146,                 4.1237,                  1.294,             0.00013792,             0.00013792,             0.00013792
                      5,                 1.3137,                 3.2176,                  1.144,                0.00278,                0.78125,                0.20611,                0.12498,                 1.4317,                 3.9986,                 1.2253,             0.00017644,             0.00017644,             0.00017644
                      6,                 1.1893,                 2.7618,                 1.0266,                0.00294,                0.82812,                0.24261,                0.14522,                 1.3689,                 3.8884,                 1.1689,             0.00021456,             0.00021456,             0.00021456
                      7,                 1.2233,                 2.4758,                 1.0446,                0.00294,                0.82812,                0.28648,                0.17862,                 1.2965,                 3.7461,                 1.1338,             0.00025228,             0.00025228,             0.00025228
                      8,                 1.1287,                 2.0544,                 1.0141,                0.00311,                  0.875,                 0.3036,                0.16784,                 1.2963,                 3.7296,                  1.109,              0.0002896,              0.0002896,              0.0002896
                      9,                 1.2054,                 1.8947,                 1.0404,                0.00311,                  0.875,                0.32582,                 0.1831,                 1.3064,                 3.7439,                 1.1254,             0.00032654,             0.00032654,             0.00032654
                     10,                 1.2226,                 1.8571,                 1.0321,                  0.003,                0.84375,                0.34512,                0.20807,                 1.2715,                 3.7595,                 1.1089,             0.00036307,             0.00036307,             0.00036307
                     11,                 1.1155,                 1.8221,                 1.0075,                0.00306,                0.85938,                0.34172,                0.21472,                 1.2813,                 3.7433,                  1.122,             0.00039921,             0.00039921,             0.00039921
                     12,                 0.9894,                 1.9434,                 1.0376,                0.00306,                0.85938,                0.34538,                0.21313,                 1.4134,                 3.8443,                 1.1845,             0.00043495,             0.00043495,             0.00043495
                     13,                 1.1986,                 1.8633,                0.99502,                0.00306,                0.85938,                0.28998,                0.16624,                 1.5259,                 3.9438,                 1.2927,              0.0004703,              0.0004703,              0.0004703
                     14,                   1.22,                 1.7558,                 1.0549,                0.00306,                0.85938,                0.21357,                0.11391,                 1.5819,                 4.0116,                 1.3523,             0.00050525,             0.00050525,             0.00050525
                     15,                 1.0748,                 1.6949,                 1.0087,                0.00317,                0.89062,                0.08792,                0.04431,                 1.6116,                 4.0544,                 1.3826,             0.00053981,             0.00053981,             0.00053981
